Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 713.677375ms, Fenwick: 543.874667ms, Python: 8.756963014s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 100.00	| 100.00	| 100.00	| 0.00
1	| 100.00	| 100.00	| 100.00	| 0.00
2	| 100.00	| 100.00	| 100.00	| 0.00
3	| 100.00	| 100.00	| 100.00	| 0.00
4	| 100.00	| 100.00	| 100.00	| 0.00
5	| 100.00	| 100.00	| 100.00	| 0.00
6	| 100.00	| 100.00	| 100.00	| 0.00
7	| 100.00	| 100.00	| 100.00	| 0.00
8	| 100.00	| 100.00	| 100.00	| 0.00
9	| 100.00	| 100.00	| 100.00	| 0.00
10	| 100.00	| 100.00	| 100.00	| 0.00
11	| 100.00	| 100.00	| 100.00	| 0.00
12	| 100.00	| 100.00	| 100.00	| 0.00
13	| 100.00	| 100.00	| 100.00	| 0.00
14	| 100.00	| 100.00	| 100.00	| 0.00
15	| 100.00	| 100.00	| 100.00	| 0.00
16	| 100.00	| 100.00	| 100.00	| 0.00
17	| 100.00	| 100.00	| 100.00	| 0.00
18	| 100.00	| 100.00	| 100.00	| 0.00
19	| 100.00	| 100.00	| 100.00	| 0.00
20	| 100.00	| 100.00	| 100.00	| 0.00
21	| 100.00	| 100.00	| 100.00	| 0.00
22	| 100.00	| 100.00	| 100.00	| 0.00
23	| 100.00	| 100.00	| 100.00	| 0.00
24	| 100.00	| 100.00	| 100.00	| 0.00
25	| 100.00	| 100.00	| 100.00	| 0.00
26	| 100.00	| 100.00	| 100.00	| 0.00
27	| 100.00	| 100.00	| 100.00	| 0.00
28	| 100.00	| 100.00	| 100.00	| 0.00
29	| 100.00	| 100.00	| 100.00	| 0.00
30	| 100.00	| 100.00	| 100.00	| 0.00
31	| 100.00	| 100.00	| 100.00	| 0.00
32	| 100.00	| 100.00	| 100.00	| 0.00
33	| 100.00	| 100.00	| 100.00	| 0.00
34	| 100.00	| 100.00	| 100.00	| 0.00
35	| 100.00	| 100.00	| 100.00	| 0.00
36	| 100.00	| 100.00	| 100.00	| 0.00
37	| 100.00	| 100.00	| 100.00	| 0.00
38	| 100.00	| 100.00	| 100.00	| 0.00
39	| 100.00	| 100.00	| 100.00	| 0.00
40	| 100.00	| 100.00	| 100.00	| 0.00
41	| 100.00	| 100.00	| 100.00	| 0.00
42	| 100.00	| 100.00	| 100.00	| 0.00
43	| 100.00	| 100.00	| 100.00	| 0.00
44	| 100.00	| 100.00	| 100.00	| 0.00
45	| 100.00	| 100.00	| 100.00	| 0.00
46	| 100.00	| 100.00	| 100.00	| 0.00
47	| 100.00	| 100.00	| 100.00	| 0.00
48	| 100.00	| 100.00	| 100.00	| 0.00
49	| 100.00	| 100.00	| 100.00	| 0.00
50	| 100.00	| 100.00	| 100.00	| 0.00
51	| 100.00	| 100.00	| 100.00	| 0.00
52	| 100.00	| 100.00	| 100.00	| 0.00
53	| 100.00	| 100.00	| 100.00	| 0.00
54	| 100.00	| 100.00	| 100.00	| 0.00
55	| 100.00	| 100.00	| 100.00	| 0.00
56	| 100.00	| 100.00	| 100.00	| 0.00
57	| 100.00	| 100.00	| 100.00	| 0.00
58	| 100.00	| 100.00	| 100.00	| 0.00
59	| 100.00	| 100.00	| 100.00	| 0.00
60	| 100.00	| 100.00	| 100.00	| 0.00
61	| 100.00	| 100.00	| 100.00	| 0.00
62	| 100.00	| 100.00	| 100.00	| 0.00
63	| 100.00	| 100.00	| 100.00	| 0.00
64	| 100.00	| 100.00	| 100.00	| 0.00
65	| 100.00	| 100.00	| 100.00	| 0.00
66	| 100.00	| 100.00	| 100.00	| 0.00
67	| 100.00	| 100.00	| 100.00	| 0.00
68	| 100.00	| 100.00	| 100.00	| 0.00
69	| 100.00	| 100.00	| 100.00	| 0.00
70	| 100.00	| 100.00	| 100.00	| 0.00
71	| 100.00	| 100.00	| 100.00	| 0.00
72	| 100.00	| 100.00	| 100.00	| 0.00
73	| 100.00	| 100.00	| 100.00	| 0.00
74	| 100.00	| 100.00	| 100.00	| 0.00
75	| 100.00	| 100.00	| 100.00	| 0.00
76	| 100.00	| 100.00	| 100.00	| 0.00
77	| 100.00	| 100.00	| 100.00	| 0.00
78	| 100.00	| 100.00	| 100.00	| 0.00
79	| 100.00	| 100.00	| 100.00	| 0.00
80	| 100.00	| 100.00	| 100.00	| 0.00
81	| 100.00	| 100.00	| 100.00	| 0.00
82	| 100.00	| 100.00	| 100.00	| 0.00
83	| 100.00	| 100.00	| 100.00	| 0.00
84	| 100.00	| 100.00	| 100.00	| 0.00
85	| 100.00	| 100.00	| 100.00	| 0.00
86	| 100.00	| 100.00	| 100.00	| 0.00
87	| 100.00	| 100.00	| 100.00	| 0.00
88	| 100.00	| 100.00	| 100.00	| 0.00
89	| 100.00	| 100.00	| 100.00	| 0.00
90	| 100.00	| 100.00	| 100.00	| 0.00
91	| 100.00	| 100.00	| 100.00	| 0.00
92	| 100.00	| 100.00	| 100.00	| 0.00
93	| 100.00	| 100.00	| 100.00	| 0.00
94	| 100.00	| 100.00	| 100.00	| 0.00
95	| 100.00	| 100.00	| 100.00	| 0.00
96	| 100.00	| 100.00	| 100.00	| 0.00
97	| 100.00	| 100.00	| 100.00	| 0.00
98	| 100.00	| 100.00	| 100.00	| 0.00
99	| 100.00	| 100.00	| 100.00	| 0.00
