Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 11.218044959s, Fenwick: 374.291667ms

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
---------------------------------------------
0	| 1.04	| 1.07	| 0.03
1	| 0.12	| 0.11	| 0.01
2	| 1.82	| 1.87	| 0.05
3	| 1.79	| 1.70	| 0.08
4	| 0.85	| 0.83	| 0.02
5	| 0.28	| 0.28	| 0.01
6	| 0.23	| 0.24	| 0.00
7	| 1.80	| 1.77	| 0.03
8	| 0.46	| 0.43	| 0.03
9	| 0.33	| 0.33	| 0.00
10	| 0.88	| 0.83	| 0.05
11	| 1.40	| 1.40	| 0.00
12	| 0.66	| 0.65	| 0.01
13	| 1.31	| 1.31	| 0.00
14	| 1.45	| 1.47	| 0.02
15	| 0.18	| 0.17	| 0.01
16	| 1.60	| 1.55	| 0.05
17	| 0.65	| 0.61	| 0.04
18	| 0.09	| 0.09	| 0.00
19	| 1.41	| 1.42	| 0.02
20	| 1.33	| 1.32	| 0.00
21	| 0.31	| 0.30	| 0.01
22	| 2.01	| 1.96	| 0.05
23	| 0.33	| 0.35	| 0.03
24	| 0.06	| 0.06	| 0.00
25	| 0.71	| 0.66	| 0.05
26	| 0.00	| 0.00	| 0.00
27	| 0.43	| 0.43	| 0.00
28	| 1.31	| 1.35	| 0.04
29	| 0.70	| 0.70	| 0.00
30	| 0.01	| 0.02	| 0.01
31	| 0.43	| 0.49	| 0.06
32	| 1.05	| 1.06	| 0.01
33	| 0.61	| 0.59	| 0.02
34	| 1.68	| 1.81	| 0.13
35	| 0.18	| 0.18	| 0.00
36	| 1.31	| 1.28	| 0.03
37	| 1.59	| 1.70	| 0.11
38	| 1.03	| 1.07	| 0.03
39	| 1.33	| 1.36	| 0.03
40	| 0.26	| 0.26	| 0.00
41	| 0.61	| 0.58	| 0.03
42	| 0.78	| 0.76	| 0.02
43	| 1.50	| 1.58	| 0.07
44	| 1.81	| 1.88	| 0.07
45	| 0.00	| 0.00	| 0.00
46	| 1.59	| 1.47	| 0.12
47	| 1.49	| 1.42	| 0.08
48	| 1.34	| 1.34	| 0.00
49	| 1.92	| 1.85	| 0.06
50	| 1.05	| 1.00	| 0.05
51	| 0.89	| 0.87	| 0.02
52	| 1.18	| 1.21	| 0.03
53	| 0.95	| 0.95	| 0.01
54	| 1.19	| 1.21	| 0.01
55	| 1.20	| 1.20	| 0.00
56	| 1.10	| 1.04	| 0.05
57	| 0.31	| 0.35	| 0.04
58	| 0.74	| 0.70	| 0.04
59	| 1.93	| 1.87	| 0.06
60	| 1.42	| 1.34	| 0.08
61	| 1.97	| 2.04	| 0.07
62	| 1.57	| 1.64	| 0.07
63	| 1.93	| 1.93	| 0.01
64	| 1.35	| 1.45	| 0.10
65	| 1.49	| 1.47	| 0.02
66	| 1.34	| 1.38	| 0.04
67	| 0.52	| 0.52	| 0.01
68	| 0.68	| 0.74	| 0.06
69	| 0.51	| 0.54	| 0.04
70	| 0.73	| 0.74	| 0.02
71	| 1.21	| 1.27	| 0.06
72	| 0.16	| 0.15	| 0.01
73	| 1.30	| 1.34	| 0.04
74	| 1.16	| 1.20	| 0.04
75	| 1.48	| 1.47	| 0.01
76	| 1.40	| 1.38	| 0.02
77	| 1.03	| 0.99	| 0.05
78	| 1.29	| 1.33	| 0.04
79	| 1.00	| 0.91	| 0.09
80	| 0.22	| 0.24	| 0.02
81	| 0.69	| 0.75	| 0.06
82	| 1.84	| 1.75	| 0.09
83	| 1.41	| 1.45	| 0.04
84	| 0.42	| 0.42	| 0.00
85	| 0.91	| 0.86	| 0.05
86	| 0.12	| 0.10	| 0.01
87	| 0.39	| 0.39	| 0.01
88	| 0.50	| 0.47	| 0.03
89	| 0.01	| 0.01	| 0.00
90	| 1.80	| 1.80	| 0.01
91	| 1.32	| 1.35	| 0.02
92	| 0.62	| 0.61	| 0.01
93	| 1.66	| 1.60	| 0.05
94	| 1.69	| 1.70	| 0.01
95	| 0.47	| 0.47	| 0.00
96	| 1.18	| 1.23	| 0.05
97	| 1.63	| 1.67	| 0.04
98	| 0.64	| 0.68	| 0.04
99	| 1.03	| 1.07	| 0.04
100	| 0.10	| 0.09	| 0.01
101	| 1.29	| 1.35	| 0.07
102	| 0.17	| 0.19	| 0.03
103	| 0.32	| 0.29	| 0.02
104	| 1.52	| 1.51	| 0.01
105	| 0.31	| 0.29	| 0.02
106	| 0.73	| 0.75	| 0.02
107	| 0.41	| 0.40	| 0.01
108	| 1.68	| 1.64	| 0.04
109	| 1.71	| 1.82	| 0.11
110	| 1.15	| 1.08	| 0.07
111	| 1.26	| 1.25	| 0.02
112	| 1.33	| 1.29	| 0.05
113	| 1.08	| 1.08	| 0.00
114	| 0.81	| 0.88	| 0.06
115	| 0.46	| 0.50	| 0.03
116	| 0.68	| 0.73	| 0.05
117	| 1.22	| 1.31	| 0.09
118	| 1.47	| 1.50	| 0.03
119	| 1.21	| 1.25	| 0.04
120	| 1.39	| 1.44	| 0.06
121	| 1.28	| 1.35	| 0.07
122	| 1.36	| 1.35	| 0.01
123	| 2.02	| 2.05	| 0.02
124	| 0.09	| 0.09	| 0.00
125	| 0.52	| 0.55	| 0.02
126	| 1.51	| 1.56	| 0.05
127	| 1.36	| 1.32	| 0.04
128	| 1.45	| 1.48	| 0.03
129	| 1.92	| 1.91	| 0.02
130	| 0.05	| 0.06	| 0.00
131	| 0.63	| 0.65	| 0.02
132	| 0.69	| 0.69	| 0.01
133	| 0.97	| 0.92	| 0.05
134	| 0.67	| 0.65	| 0.01
135	| 0.41	| 0.40	| 0.02
136	| 0.79	| 0.86	| 0.07
137	| 0.88	| 0.89	| 0.02
138	| 0.14	| 0.17	| 0.02
139	| 1.98	| 1.99	| 0.02
140	| 1.32	| 1.38	| 0.06
141	| 1.60	| 1.55	| 0.05
142	| 0.72	| 0.74	| 0.02
143	| 0.64	| 0.65	| 0.01
144	| 1.94	| 2.03	| 0.09
145	| 0.92	| 0.90	| 0.01
146	| 1.02	| 1.04	| 0.01
147	| 1.00	| 0.95	| 0.05
148	| 0.80	| 0.79	| 0.01
149	| 1.59	| 1.56	| 0.03
150	| 1.02	| 1.01	| 0.01
151	| 0.45	| 0.47	| 0.01
152	| 1.24	| 1.37	| 0.13
153	| 0.38	| 0.36	| 0.02
154	| 0.36	| 0.33	| 0.03
155	| 0.05	| 0.04	| 0.01
156	| 1.04	| 0.97	| 0.07
157	| 1.63	| 1.59	| 0.04
158	| 0.22	| 0.23	| 0.01
159	| 0.15	| 0.13	| 0.02
160	| 1.05	| 0.97	| 0.08
161	| 0.13	| 0.12	| 0.01
162	| 0.60	| 0.61	| 0.01
163	| 0.81	| 0.83	| 0.02
164	| 0.10	| 0.10	| 0.00
165	| 1.88	| 1.86	| 0.02
166	| 1.66	| 1.82	| 0.16
167	| 1.16	| 1.20	| 0.04
168	| 0.77	| 0.81	| 0.04
169	| 0.48	| 0.51	| 0.02
170	| 0.53	| 0.46	| 0.07
171	| 0.73	| 0.68	| 0.04
172	| 1.15	| 1.10	| 0.05
173	| 0.92	| 0.92	| 0.00
174	| 2.03	| 2.08	| 0.06
175	| 0.50	| 0.54	| 0.04
176	| 1.31	| 1.21	| 0.10
177	| 1.05	| 1.10	| 0.05
178	| 1.55	| 1.59	| 0.04
179	| 0.66	| 0.69	| 0.04
180	| 0.68	| 0.71	| 0.04
181	| 1.74	| 1.68	| 0.06
182	| 0.16	| 0.20	| 0.04
183	| 0.37	| 0.39	| 0.02
184	| 0.03	| 0.03	| 0.01
185	| 2.01	| 1.93	| 0.08
186	| 2.03	| 1.99	| 0.04
187	| 0.73	| 0.70	| 0.03
188	| 1.23	| 1.30	| 0.07
189	| 0.33	| 0.32	| 0.01
190	| 0.36	| 0.34	| 0.03
191	| 0.01	| 0.01	| 0.00
192	| 0.04	| 0.04	| 0.00
193	| 1.17	| 1.11	| 0.06
194	| 1.35	| 1.36	| 0.01
195	| 0.02	| 0.01	| 0.00
196	| 1.47	| 1.41	| 0.06
197	| 1.71	| 1.71	| 0.00
198	| 1.06	| 1.05	| 0.01
199	| 0.29	| 0.33	| 0.04
200	| 1.68	| 1.64	| 0.04
201	| 0.06	| 0.06	| 0.00
202	| 1.33	| 1.34	| 0.01
203	| 0.06	| 0.05	| 0.00
204	| 1.52	| 1.57	| 0.05
205	| 1.63	| 1.56	| 0.07
206	| 0.63	| 0.60	| 0.03
207	| 0.51	| 0.58	| 0.07
208	| 1.60	| 1.52	| 0.08
209	| 1.95	| 2.01	| 0.06
210	| 1.59	| 1.66	| 0.07
211	| 1.54	| 1.46	| 0.09
212	| 1.57	| 1.59	| 0.02
213	| 1.75	| 1.74	| 0.02
214	| 0.72	| 0.64	| 0.08
215	| 1.88	| 1.98	| 0.10
216	| 1.26	| 1.27	| 0.01
217	| 1.61	| 1.52	| 0.09
218	| 0.52	| 0.53	| 0.01
219	| 0.81	| 0.78	| 0.03
220	| 0.72	| 0.63	| 0.08
221	| 0.66	| 0.66	| 0.00
222	| 1.11	| 1.08	| 0.03
223	| 0.02	| 0.02	| 0.00
224	| 0.60	| 0.58	| 0.02
225	| 1.90	| 1.81	| 0.08
226	| 1.39	| 1.39	| 0.00
227	| 1.65	| 1.64	| 0.01
228	| 0.81	| 0.85	| 0.04
229	| 0.38	| 0.39	| 0.02
230	| 0.32	| 0.29	| 0.03
231	| 1.52	| 1.47	| 0.05
232	| 0.71	| 0.70	| 0.01
233	| 0.39	| 0.39	| 0.00
234	| 1.57	| 1.54	| 0.03
235	| 1.74	| 1.71	| 0.03
236	| 1.99	| 1.92	| 0.07
237	| 2.00	| 2.05	| 0.05
238	| 1.19	| 1.16	| 0.03
239	| 0.98	| 0.99	| 0.01
240	| 0.77	| 0.79	| 0.02
241	| 2.05	| 1.92	| 0.13
242	| 0.61	| 0.63	| 0.02
243	| 0.28	| 0.28	| 0.01
244	| 0.16	| 0.16	| 0.00
245	| 0.86	| 0.90	| 0.04
246	| 0.90	| 0.93	| 0.02
247	| 0.28	| 0.30	| 0.02
248	| 2.03	| 2.00	| 0.03
249	| 2.08	| 2.00	| 0.08
250	| 1.12	| 1.17	| 0.04
251	| 1.81	| 1.92	| 0.11
252	| 0.87	| 0.87	| 0.00
253	| 0.15	| 0.15	| 0.00
254	| 1.33	| 1.23	| 0.10
255	| 0.60	| 0.60	| 0.00
256	| 1.80	| 1.75	| 0.05
257	| 0.12	| 0.15	| 0.04
258	| 0.74	| 0.72	| 0.02
259	| 0.20	| 0.22	| 0.02
260	| 0.73	| 0.69	| 0.04
261	| 0.80	| 0.78	| 0.02
262	| 1.41	| 1.38	| 0.03
263	| 1.47	| 1.53	| 0.06
264	| 0.92	| 0.96	| 0.05
265	| 1.61	| 1.48	| 0.13
266	| 1.90	| 1.98	| 0.07
267	| 1.38	| 1.33	| 0.06
268	| 0.30	| 0.30	| 0.00
269	| 1.66	| 1.72	| 0.07
270	| 0.59	| 0.66	| 0.07
271	| 1.45	| 1.49	| 0.04
272	| 1.23	| 1.23	| 0.00
273	| 1.19	| 1.17	| 0.02
274	| 1.99	| 1.90	| 0.09
275	| 1.96	| 1.94	| 0.02
276	| 0.02	| 0.03	| 0.01
277	| 1.80	| 1.81	| 0.01
278	| 1.70	| 1.60	| 0.09
279	| 1.00	| 0.94	| 0.06
280	| 1.31	| 1.33	| 0.02
281	| 1.87	| 1.90	| 0.03
282	| 1.13	| 1.15	| 0.02
283	| 1.41	| 1.45	| 0.04
284	| 0.04	| 0.05	| 0.01
285	| 1.95	| 2.04	| 0.09
286	| 1.10	| 1.07	| 0.02
287	| 0.14	| 0.15	| 0.01
288	| 0.75	| 0.71	| 0.04
289	| 0.47	| 0.54	| 0.07
290	| 1.30	| 1.33	| 0.03
291	| 1.40	| 1.44	| 0.03
292	| 1.77	| 1.80	| 0.03
293	| 0.82	| 0.83	| 0.01
294	| 0.55	| 0.57	| 0.02
295	| 0.18	| 0.19	| 0.01
296	| 0.56	| 0.53	| 0.03
297	| 0.66	| 0.66	| 0.00
298	| 1.79	| 1.74	| 0.05
299	| 0.29	| 0.30	| 0.02
300	| 0.31	| 0.30	| 0.02
301	| 1.97	| 1.94	| 0.03
302	| 1.86	| 1.84	| 0.02
303	| 1.06	| 1.05	| 0.01
304	| 1.87	| 1.89	| 0.02
305	| 0.36	| 0.34	| 0.02
306	| 1.58	| 1.60	| 0.01
307	| 0.26	| 0.24	| 0.02
308	| 0.43	| 0.45	| 0.01
309	| 0.98	| 1.05	| 0.08
310	| 1.08	| 1.06	| 0.02
311	| 1.10	| 1.18	| 0.08
312	| 1.48	| 1.40	| 0.08
313	| 1.56	| 1.55	| 0.01
314	| 0.56	| 0.55	| 0.01
315	| 0.71	| 0.75	| 0.04
316	| 0.24	| 0.25	| 0.01
317	| 1.32	| 1.34	| 0.02
318	| 0.87	| 0.98	| 0.10
319	| 0.36	| 0.33	| 0.03
320	| 0.75	| 0.72	| 0.03
321	| 0.89	| 0.91	| 0.02
322	| 1.63	| 1.65	| 0.02
323	| 1.44	| 1.35	| 0.09
324	| 1.91	| 1.95	| 0.04
325	| 0.48	| 0.51	| 0.03
326	| 1.45	| 1.44	| 0.01
327	| 0.76	| 0.80	| 0.04
328	| 1.29	| 1.24	| 0.05
329	| 1.36	| 1.39	| 0.03
330	| 2.03	| 1.98	| 0.05
331	| 1.42	| 1.43	| 0.00
332	| 1.59	| 1.63	| 0.04
333	| 0.07	| 0.10	| 0.03
334	| 0.45	| 0.48	| 0.03
335	| 0.77	| 0.82	| 0.05
336	| 1.51	| 1.47	| 0.04
337	| 0.92	| 0.91	| 0.01
338	| 1.38	| 1.34	| 0.05
339	| 1.62	| 1.52	| 0.10
340	| 0.42	| 0.42	| 0.00
341	| 0.47	| 0.45	| 0.03
342	| 0.15	| 0.15	| 0.00
343	| 2.06	| 2.01	| 0.05
344	| 0.47	| 0.45	| 0.02
345	| 1.43	| 1.40	| 0.03
346	| 1.34	| 1.36	| 0.02
347	| 1.31	| 1.32	| 0.01
348	| 1.31	| 1.33	| 0.03
349	| 0.96	| 0.91	| 0.05
350	| 0.72	| 0.63	| 0.08
351	| 1.17	| 1.11	| 0.06
352	| 0.48	| 0.55	| 0.08
353	| 0.49	| 0.48	| 0.01
354	| 1.21	| 1.29	| 0.07
355	| 1.99	| 2.02	| 0.04
356	| 1.07	| 1.14	| 0.07
357	| 1.23	| 1.23	| 0.00
358	| 2.05	| 1.94	| 0.11
359	| 1.36	| 1.27	| 0.09
360	| 0.76	| 0.71	| 0.04
361	| 2.05	| 2.03	| 0.02
362	| 0.88	| 0.91	| 0.03
363	| 1.79	| 1.81	| 0.02
364	| 1.23	| 1.20	| 0.02
365	| 1.49	| 1.41	| 0.08
366	| 1.41	| 1.40	| 0.02
367	| 1.20	| 1.19	| 0.00
368	| 1.16	| 1.16	| 0.00
369	| 1.43	| 1.45	| 0.03
370	| 0.33	| 0.33	| 0.00
371	| 0.85	| 0.90	| 0.05
372	| 0.43	| 0.46	| 0.03
373	| 0.38	| 0.43	| 0.05
374	| 0.09	| 0.07	| 0.02
375	| 0.36	| 0.34	| 0.02
376	| 0.18	| 0.19	| 0.01
377	| 0.77	| 0.81	| 0.04
378	| 1.33	| 1.32	| 0.01
379	| 0.12	| 0.11	| 0.01
380	| 0.54	| 0.54	| 0.00
381	| 0.60	| 0.59	| 0.01
382	| 0.24	| 0.24	| 0.00
383	| 1.04	| 1.13	| 0.09
384	| 1.78	| 1.75	| 0.02
385	| 0.69	| 0.75	| 0.06
386	| 1.10	| 1.17	| 0.07
387	| 0.28	| 0.27	| 0.00
388	| 1.69	| 1.68	| 0.01
389	| 0.06	| 0.07	| 0.02
390	| 1.24	| 1.18	| 0.06
391	| 1.28	| 1.29	| 0.01
392	| 0.07	| 0.07	| 0.01
393	| 1.12	| 1.07	| 0.05
394	| 1.54	| 1.65	| 0.11
395	| 1.24	| 1.31	| 0.08
396	| 1.42	| 1.42	| 0.00
397	| 0.13	| 0.11	| 0.03
398	| 0.16	| 0.16	| 0.00
399	| 1.92	| 1.90	| 0.02
400	| 1.86	| 1.89	| 0.03
401	| 0.33	| 0.33	| 0.00
402	| 0.64	| 0.65	| 0.00
403	| 1.20	| 1.19	| 0.01
404	| 0.35	| 0.36	| 0.01
405	| 1.82	| 1.87	| 0.05
406	| 1.88	| 1.86	| 0.02
407	| 0.92	| 0.93	| 0.01
408	| 1.95	| 1.91	| 0.04
409	| 1.74	| 1.80	| 0.05
410	| 0.66	| 0.61	| 0.05
411	| 0.28	| 0.30	| 0.02
412	| 1.86	| 1.85	| 0.01
413	| 1.16	| 1.16	| 0.01
414	| 1.65	| 1.63	| 0.02
415	| 0.41	| 0.39	| 0.01
416	| 1.18	| 1.15	| 0.03
417	| 1.60	| 1.58	| 0.02
418	| 0.74	| 0.74	| 0.00
419	| 1.47	| 1.55	| 0.08
420	| 1.03	| 1.01	| 0.01
421	| 0.50	| 0.48	| 0.02
422	| 1.47	| 1.47	| 0.00
423	| 1.59	| 1.65	| 0.05
424	| 0.27	| 0.28	| 0.00
425	| 1.87	| 1.86	| 0.01
426	| 0.91	| 0.92	| 0.00
427	| 1.13	| 1.09	| 0.04
428	| 0.52	| 0.51	| 0.01
429	| 1.59	| 1.67	| 0.08
430	| 1.52	| 1.57	| 0.05
431	| 0.21	| 0.21	| 0.00
432	| 1.92	| 1.86	| 0.05
433	| 1.21	| 1.20	| 0.01
434	| 0.38	| 0.33	| 0.05
435	| 0.04	| 0.03	| 0.00
436	| 0.15	| 0.15	| 0.00
437	| 0.83	| 0.80	| 0.03
438	| 1.71	| 1.63	| 0.08
439	| 0.21	| 0.18	| 0.02
440	| 1.16	| 1.16	| 0.00
441	| 1.35	| 1.38	| 0.03
442	| 0.46	| 0.45	| 0.01
443	| 1.77	| 1.75	| 0.03
444	| 1.57	| 1.64	| 0.07
445	| 1.54	| 1.50	| 0.04
446	| 0.16	| 0.16	| 0.00
447	| 0.86	| 0.88	| 0.02
448	| 0.13	| 0.14	| 0.01
449	| 0.87	| 0.83	| 0.04
450	| 0.60	| 0.65	| 0.05
451	| 0.02	| 0.01	| 0.01
452	| 1.71	| 1.64	| 0.07
453	| 2.04	| 2.00	| 0.04
454	| 0.23	| 0.21	| 0.02
455	| 1.38	| 1.44	| 0.05
456	| 0.73	| 0.74	| 0.02
457	| 0.74	| 0.77	| 0.03
458	| 1.70	| 1.70	| 0.00
459	| 1.95	| 2.05	| 0.09
460	| 1.43	| 1.35	| 0.08
461	| 0.41	| 0.39	| 0.03
462	| 0.10	| 0.12	| 0.02
463	| 0.86	| 0.88	| 0.02
464	| 0.55	| 0.56	| 0.01
465	| 1.16	| 1.14	| 0.02
466	| 1.62	| 1.71	| 0.08
467	| 0.05	| 0.06	| 0.01
468	| 1.46	| 1.40	| 0.06
469	| 0.53	| 0.55	| 0.02
470	| 1.40	| 1.34	| 0.06
471	| 1.29	| 1.26	| 0.03
472	| 1.73	| 1.84	| 0.11
473	| 1.04	| 1.07	| 0.03
474	| 0.96	| 1.00	| 0.04
475	| 0.67	| 0.71	| 0.04
476	| 1.46	| 1.50	| 0.04
477	| 1.08	| 1.12	| 0.03
478	| 1.64	| 1.64	| 0.00
479	| 1.86	| 1.91	| 0.05
480	| 1.52	| 1.49	| 0.03
481	| 0.87	| 0.85	| 0.02
482	| 1.79	| 1.70	| 0.08
483	| 0.48	| 0.47	| 0.01
484	| 0.03	| 0.03	| 0.00
485	| 0.86	| 0.81	| 0.05
486	| 1.20	| 1.27	| 0.06
487	| 0.37	| 0.35	| 0.02
488	| 1.30	| 1.26	| 0.05
489	| 1.49	| 1.54	| 0.05
490	| 0.90	| 0.86	| 0.04
491	| 2.02	| 2.09	| 0.07
492	| 1.57	| 1.64	| 0.06
493	| 0.97	| 0.89	| 0.08
494	| 1.03	| 1.02	| 0.01
495	| 1.89	| 1.84	| 0.06
496	| 1.57	| 1.52	| 0.05
497	| 0.20	| 0.18	| 0.02
498	| 0.02	| 0.01	| 0.01
499	| 1.28	| 1.25	| 0.04
500	| 0.19	| 0.20	| 0.01
501	| 0.78	| 0.71	| 0.07
502	| 0.93	| 0.98	| 0.04
503	| 0.71	| 0.74	| 0.03
504	| 0.30	| 0.28	| 0.02
505	| 0.95	| 0.91	| 0.04
506	| 1.61	| 1.55	| 0.06
507	| 1.23	| 1.12	| 0.11
508	| 0.51	| 0.46	| 0.05
509	| 1.84	| 1.78	| 0.05
510	| 0.15	| 0.14	| 0.02
511	| 0.00	| 0.00	| 0.00
512	| 1.90	| 1.86	| 0.04
513	| 1.68	| 1.61	| 0.06
514	| 0.20	| 0.17	| 0.03
515	| 1.90	| 1.98	| 0.08
516	| 1.12	| 1.03	| 0.09
517	| 0.83	| 0.85	| 0.03
518	| 0.84	| 0.74	| 0.10
519	| 1.48	| 1.52	| 0.04
520	| 1.06	| 1.06	| 0.00
521	| 0.14	| 0.13	| 0.01
522	| 0.12	| 0.15	| 0.03
523	| 0.70	| 0.67	| 0.03
524	| 0.11	| 0.12	| 0.00
525	| 0.18	| 0.18	| 0.01
526	| 1.12	| 1.16	| 0.04
527	| 0.58	| 0.56	| 0.01
