Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 879.9725ms, Fenwick: 84.84375ms

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
---------------------------------------------
0	| 9.77	| 9.84	| 0.07
1	| 3.14	| 3.15	| 0.01
2	| 13.38	| 13.44	| 0.05
3	| 15.70	| 15.82	| 0.11
4	| 17.34	| 17.41	| 0.07
5	| 17.88	| 18.16	| 0.29
6	| 16.18	| 16.30	| 0.12
7	| 17.71	| 17.62	| 0.09
8	| 1.82	| 1.77	| 0.06
9	| 9.04	| 8.73	| 0.30
10	| 18.95	| 18.80	| 0.15
11	| 18.21	| 18.60	| 0.39
12	| 1.98	| 1.97	| 0.02
13	| 8.84	| 8.74	| 0.11
14	| 4.81	| 4.88	| 0.07
15	| 7.75	| 7.69	| 0.06
16	| 9.83	| 9.79	| 0.04
17	| 0.21	| 0.21	| 0.00
18	| 12.03	| 11.85	| 0.18
19	| 6.71	| 6.65	| 0.07
20	| 9.44	| 9.26	| 0.18
21	| 7.85	| 7.82	| 0.03
22	| 7.36	| 7.34	| 0.02
23	| 9.42	| 9.43	| 0.01
24	| 7.01	| 6.99	| 0.01
25	| 0.07	| 0.05	| 0.02
26	| 15.46	| 15.76	| 0.30
27	| 9.66	| 9.51	| 0.15
28	| 7.55	| 7.63	| 0.08
29	| 18.00	| 17.96	| 0.05
30	| 1.61	| 1.68	| 0.07
31	| 17.75	| 17.95	| 0.20
32	| 10.94	| 10.85	| 0.09
33	| 7.56	| 7.49	| 0.07
34	| 13.97	| 13.96	| 0.01
35	| 14.06	| 14.10	| 0.04
36	| 0.73	| 0.70	| 0.03
37	| 10.64	| 10.68	| 0.04
38	| 16.62	| 16.46	| 0.17
39	| 6.71	| 6.67	| 0.04
40	| 2.62	| 2.79	| 0.16
41	| 11.29	| 11.51	| 0.23
42	| 9.16	| 9.33	| 0.17
43	| 7.47	| 7.54	| 0.07
44	| 16.32	| 16.02	| 0.30
45	| 16.64	| 16.56	| 0.08
46	| 18.68	| 19.11	| 0.42
47	| 10.05	| 10.13	| 0.08
48	| 17.27	| 16.98	| 0.29
49	| 6.34	| 6.44	| 0.10
50	| 12.53	| 12.75	| 0.22
51	| 12.31	| 12.01	| 0.30
52	| 14.49	| 14.64	| 0.16
53	| 9.60	| 9.48	| 0.12
54	| 10.84	| 10.85	| 0.01
55	| 13.25	| 13.30	| 0.04
56	| 4.45	| 4.57	| 0.12
57	| 0.41	| 0.39	| 0.02
58	| 10.62	| 10.64	| 0.02
59	| 0.83	| 0.83	| 0.01
60	| 9.48	| 9.61	| 0.13
61	| 18.50	| 18.63	| 0.12
62	| 3.08	| 3.09	| 0.01
63	| 12.30	| 12.16	| 0.14
64	| 15.27	| 15.50	| 0.23
65	| 18.48	| 18.43	| 0.05
66	| 10.84	| 10.88	| 0.05
67	| 6.27	| 6.19	| 0.08
68	| 15.01	| 14.98	| 0.04
69	| 7.29	| 7.22	| 0.07
70	| 18.02	| 18.30	| 0.28
71	| 15.96	| 15.94	| 0.02
72	| 15.26	| 15.34	| 0.08
73	| 0.49	| 0.49	| 0.00
74	| 10.48	| 10.39	| 0.09
75	| 5.49	| 5.40	| 0.09
76	| 3.28	| 3.34	| 0.06
77	| 1.49	| 1.54	| 0.05
78	| 12.41	| 12.29	| 0.12
79	| 6.59	| 6.49	| 0.10
80	| 18.77	| 19.01	| 0.24
81	| 8.21	| 8.09	| 0.12
82	| 8.04	| 7.89	| 0.15
83	| 5.30	| 5.13	| 0.17
84	| 9.17	| 9.31	| 0.15
85	| 12.40	| 12.33	| 0.07
86	| 14.22	| 14.26	| 0.04
87	| 5.33	| 5.35	| 0.02
88	| 11.90	| 11.73	| 0.17
89	| 14.86	| 14.51	| 0.35
90	| 6.59	| 6.41	| 0.17
91	| 14.98	| 15.02	| 0.04
92	| 2.98	| 3.13	| 0.15
93	| 0.72	| 0.67	| 0.05
94	| 9.47	| 9.70	| 0.22
95	| 13.97	| 13.53	| 0.45
96	| 5.50	| 5.62	| 0.12
97	| 7.30	| 7.15	| 0.14
98	| 0.43	| 0.52	| 0.10
99	| 15.00	| 14.87	| 0.13
