Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 347.003875ms, Fenwick: 287.392875ms, Python: 4.690630197s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 41.76	| 41.88	| 42.13	| 0.37
1	| 3.62	| 3.63	| 3.69	| 0.06
2	| 44.37	| 44.58	| 44.71	| 0.34
3	| 32.73	| 32.61	| 32.22	| 0.51
4	| 70.53	| 70.45	| 70.35	| 0.17
5	| 79.86	| 80.15	| 80.04	| 0.29
6	| 48.73	| 49.13	| 49.09	| 0.40
7	| 11.13	| 11.07	| 11.06	| 0.07
8	| 48.88	| 48.64	| 48.65	| 0.24
9	| 66.06	| 66.13	| 66.06	| 0.07
10	| 51.49	| 51.92	| 51.73	| 0.43
11	| 73.44	| 73.43	| 73.60	| 0.16
12	| 78.36	| 78.32	| 78.23	| 0.13
13	| 73.83	| 73.67	| 74.01	| 0.33
14	| 67.35	| 67.41	| 67.25	| 0.16
15	| 49.01	| 48.86	| 48.79	| 0.22
16	| 59.13	| 59.03	| 59.19	| 0.16
17	| 62.61	| 62.84	| 62.97	| 0.36
18	| 54.16	| 54.05	| 53.93	| 0.22
19	| 50.64	| 50.99	| 50.93	| 0.36
20	| 38.51	| 38.61	| 38.41	| 0.19
21	| 75.72	| 75.67	| 75.59	| 0.13
22	| 71.29	| 71.39	| 71.17	| 0.22
23	| 25.44	| 25.34	| 25.30	| 0.14
24	| 17.89	| 17.84	| 18.00	| 0.16
25	| 79.45	| 79.53	| 79.69	| 0.23
26	| 70.81	| 70.80	| 71.02	| 0.23
27	| 48.37	| 48.17	| 48.20	| 0.20
28	| 33.54	| 33.51	| 33.66	| 0.15
29	| 56.39	| 56.51	| 56.35	| 0.16
30	| 54.56	| 54.43	| 54.37	| 0.18
31	| 21.76	| 21.59	| 21.61	| 0.17
32	| 10.60	| 10.41	| 10.75	| 0.33
33	| 46.34	| 46.16	| 46.01	| 0.34
34	| 70.76	| 71.15	| 70.78	| 0.39
35	| 26.05	| 25.73	| 26.32	| 0.59
36	| 71.11	| 71.31	| 71.33	| 0.21
37	| 41.34	| 41.63	| 41.39	| 0.29
38	| 64.31	| 64.16	| 64.13	| 0.18
39	| 55.07	| 54.72	| 54.87	| 0.35
40	| 47.98	| 48.09	| 48.10	| 0.12
41	| 33.82	| 33.81	| 33.58	| 0.24
42	| 72.22	| 72.05	| 72.17	| 0.16
43	| 19.71	| 19.52	| 19.86	| 0.34
44	| 78.90	| 79.03	| 78.88	| 0.15
45	| 50.54	| 50.28	| 50.32	| 0.27
46	| 78.38	| 78.11	| 78.00	| 0.38
47	| 52.15	| 52.22	| 52.35	| 0.20
48	| 41.49	| 41.82	| 41.58	| 0.33
49	| 68.70	| 68.98	| 68.72	| 0.27
50	| 4.85	| 4.63	| 4.80	| 0.21
51	| 45.99	| 45.84	| 46.10	| 0.25
52	| 75.96	| 75.82	| 75.52	| 0.45
53	| 69.32	| 68.98	| 68.84	| 0.48
54	| 73.69	| 73.29	| 73.47	| 0.40
55	| 42.75	| 42.54	| 42.79	| 0.25
56	| 77.11	| 76.95	| 76.92	| 0.19
57	| 45.18	| 44.89	| 45.03	| 0.29
58	| 43.55	| 43.71	| 43.85	| 0.30
59	| 68.00	| 68.33	| 68.30	| 0.33
60	| 42.51	| 42.48	| 42.47	| 0.03
61	| 34.82	| 34.72	| 34.88	| 0.16
62	| 68.08	| 68.30	| 68.20	| 0.22
63	| 32.16	| 32.31	| 32.36	| 0.20
64	| 72.19	| 72.04	| 71.96	| 0.23
65	| 39.66	| 39.25	| 39.47	| 0.41
66	| 67.97	| 68.03	| 67.94	| 0.09
67	| 31.54	| 31.80	| 31.95	| 0.41
68	| 56.36	| 56.37	| 56.58	| 0.22
69	| 3.90	| 3.91	| 4.03	| 0.13
70	| 31.20	| 31.20	| 31.02	| 0.19
71	| 30.55	| 30.79	| 30.38	| 0.41
72	| 60.99	| 61.13	| 61.35	| 0.36
73	| 18.22	| 18.22	| 18.20	| 0.03
74	| 58.40	| 58.28	| 58.40	| 0.12
75	| 58.83	| 59.05	| 59.07	| 0.24
76	| 35.25	| 35.53	| 35.04	| 0.49
77	| 38.56	| 38.53	| 38.39	| 0.17
78	| 57.87	| 57.77	| 57.82	| 0.11
79	| 14.24	| 14.01	| 14.38	| 0.37
80	| 78.40	| 78.08	| 78.28	| 0.31
81	| 70.84	| 70.61	| 70.62	| 0.23
82	| 58.01	| 57.83	| 57.94	| 0.18
83	| 32.18	| 32.06	| 32.26	| 0.19
84	| 4.16	| 4.12	| 4.15	| 0.05
85	| 54.07	| 54.12	| 53.96	| 0.16
86	| 70.00	| 70.04	| 69.70	| 0.34
87	| 62.43	| 62.60	| 62.32	| 0.28
88	| 11.77	| 11.97	| 12.10	| 0.33
89	| 67.46	| 67.38	| 67.33	| 0.13
90	| 51.03	| 50.77	| 51.23	| 0.47
91	| 44.29	| 44.62	| 44.47	| 0.33
92	| 4.65	| 4.66	| 4.50	| 0.16
93	| 45.01	| 45.20	| 45.15	| 0.19
94	| 63.95	| 63.95	| 63.84	| 0.11
95	| 67.38	| 67.60	| 67.55	| 0.22
96	| 59.02	| 59.41	| 59.17	| 0.39
97	| 37.00	| 37.09	| 36.91	| 0.18
98	| 77.67	| 77.78	| 77.80	| 0.13
99	| 50.08	| 50.09	| 50.10	| 0.02
