Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 80.228416ms, Fenwick: 84.00475ms, Python: 3.033174991s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 9.81	| 9.71	| 9.77	| 0.10
1	| 3.07	| 3.02	| 3.13	| 0.11
2	| 13.25	| 13.46	| 13.45	| 0.22
3	| 15.73	| 15.61	| 15.89	| 0.28
4	| 17.22	| 17.25	| 17.27	| 0.05
5	| 17.90	| 17.82	| 17.73	| 0.16
6	| 16.26	| 16.33	| 16.18	| 0.16
7	| 17.59	| 17.69	| 17.69	| 0.10
8	| 1.73	| 1.76	| 1.77	| 0.04
9	| 8.91	| 8.89	| 8.95	| 0.06
10	| 18.87	| 18.92	| 18.95	| 0.08
11	| 18.02	| 18.38	| 18.24	| 0.37
12	| 2.01	| 2.03	| 1.98	| 0.05
13	| 8.51	| 8.71	| 8.65	| 0.20
14	| 4.87	| 4.87	| 4.85	| 0.02
15	| 7.86	| 7.83	| 7.75	| 0.12
16	| 9.77	| 9.88	| 9.76	| 0.13
17	| 0.21	| 0.23	| 0.19	| 0.03
18	| 11.95	| 11.86	| 11.99	| 0.13
19	| 6.58	| 6.52	| 6.47	| 0.10
20	| 9.41	| 9.48	| 9.32	| 0.16
21	| 7.83	| 7.70	| 7.76	| 0.13
22	| 7.36	| 7.16	| 7.40	| 0.24
23	| 9.27	| 9.25	| 9.30	| 0.04
24	| 7.02	| 7.00	| 6.82	| 0.19
25	| 0.06	| 0.06	| 0.05	| 0.01
26	| 15.80	| 15.61	| 15.74	| 0.20
27	| 9.83	| 9.56	| 9.57	| 0.27
28	| 7.54	| 7.56	| 7.75	| 0.21
29	| 18.04	| 18.05	| 17.93	| 0.13
30	| 1.64	| 1.64	| 1.60	| 0.04
31	| 17.90	| 18.04	| 17.86	| 0.18
32	| 11.02	| 10.93	| 10.85	| 0.17
33	| 7.61	| 7.40	| 7.41	| 0.21
34	| 14.21	| 14.06	| 14.13	| 0.15
35	| 14.01	| 14.16	| 13.94	| 0.22
36	| 0.66	| 0.68	| 0.67	| 0.03
37	| 10.77	| 10.63	| 10.73	| 0.14
38	| 16.39	| 16.67	| 16.25	| 0.42
39	| 6.72	| 6.75	| 6.62	| 0.13
40	| 2.51	| 2.76	| 2.75	| 0.25
41	| 11.45	| 11.48	| 11.52	| 0.07
42	| 9.44	| 9.21	| 9.37	| 0.22
43	| 7.57	| 7.50	| 7.73	| 0.24
44	| 16.18	| 16.49	| 16.20	| 0.31
45	| 16.59	| 16.39	| 16.51	| 0.20
46	| 19.30	| 18.93	| 19.20	| 0.36
47	| 10.19	| 10.15	| 10.10	| 0.09
48	| 17.09	| 16.85	| 17.09	| 0.25
49	| 6.12	| 6.06	| 6.07	| 0.06
50	| 12.67	| 12.75	| 12.84	| 0.17
51	| 12.29	| 12.32	| 12.36	| 0.07
52	| 14.62	| 14.44	| 14.47	| 0.18
53	| 9.36	| 9.47	| 9.55	| 0.19
54	| 10.82	| 10.84	| 10.76	| 0.08
55	| 13.47	| 13.31	| 13.19	| 0.28
56	| 4.58	| 4.62	| 4.69	| 0.10
57	| 0.36	| 0.40	| 0.38	| 0.05
58	| 10.59	| 10.63	| 10.49	| 0.14
59	| 0.78	| 0.82	| 0.83	| 0.05
60	| 9.47	| 9.81	| 9.55	| 0.33
61	| 18.66	| 18.73	| 18.52	| 0.20
62	| 3.11	| 3.04	| 3.10	| 0.06
63	| 12.12	| 12.31	| 12.20	| 0.19
64	| 15.35	| 15.50	| 15.39	| 0.16
65	| 18.41	| 18.62	| 18.37	| 0.25
66	| 10.78	| 11.00	| 10.81	| 0.22
67	| 6.29	| 6.26	| 6.48	| 0.22
68	| 15.16	| 15.04	| 14.89	| 0.27
69	| 7.07	| 7.14	| 7.24	| 0.17
70	| 18.16	| 17.90	| 18.26	| 0.36
71	| 15.93	| 15.87	| 16.09	| 0.23
72	| 15.39	| 15.50	| 15.75	| 0.35
73	| 0.44	| 0.50	| 0.47	| 0.06
74	| 10.44	| 10.61	| 10.57	| 0.17
75	| 5.42	| 5.50	| 5.49	| 0.09
76	| 3.43	| 3.35	| 3.37	| 0.07
77	| 1.58	| 1.53	| 1.51	| 0.07
78	| 12.36	| 12.19	| 12.62	| 0.43
79	| 6.50	| 6.43	| 6.45	| 0.07
80	| 18.61	| 18.66	| 18.78	| 0.17
81	| 8.19	| 8.19	| 8.07	| 0.12
82	| 8.22	| 8.20	| 8.05	| 0.17
83	| 5.31	| 5.24	| 5.22	| 0.09
84	| 9.12	| 9.05	| 9.26	| 0.21
85	| 12.18	| 12.23	| 12.24	| 0.06
86	| 14.28	| 14.20	| 14.33	| 0.13
87	| 5.39	| 5.43	| 5.32	| 0.11
88	| 11.79	| 11.72	| 11.75	| 0.07
89	| 14.81	| 14.78	| 14.80	| 0.03
90	| 6.48	| 6.57	| 6.53	| 0.09
91	| 14.82	| 14.98	| 14.83	| 0.17
92	| 3.11	| 3.02	| 3.04	| 0.09
93	| 0.70	| 0.69	| 0.67	| 0.03
94	| 9.82	| 9.74	| 9.55	| 0.27
95	| 13.68	| 13.84	| 13.76	| 0.17
96	| 5.49	| 5.47	| 5.55	| 0.08
97	| 7.28	| 7.30	| 7.26	| 0.04
98	| 0.48	| 0.51	| 0.44	| 0.07
99	| 15.03	| 14.75	| 14.96	| 0.27
